company_name,services_provided,mbe_wbe_cert,small_local_cert,veteran_cert,sdo_certified,city_registered,address,city,state,zipcode,contact_name,contact_title,phone,fax,email,website,business_type,construction,date_business_established,number_employees,cob_category_codes1,cob_category_codes2,cob_category_codes3,naics_codes1,naics_codes2,naics_codes3,unspsc_code1,unspsc_code2,unspsc_code3
Moto Designshop,Architecture & Interior Design,MBE,SBE,,No,No,"228 Vine Street, Philadelphia, PA 19106",Philadelphia,PA,19106,Adam Montalbano,Adam Montalbano Partner,(215) 592-9300,,adam@motodesignshop.com,www.motodesignshop.com,Corporation,No,2004,Less than 10,AE - Architects/Engineers,IT - Interior Deisgn Services,,541310 - Architectural Services,541410 - Interior Design Services,,81100000 - Professional engineering services,,
"Tiba Services, Inc.",Transportation:  Limousine,MBE,SLBE,,No,No,"50 Corona Street, Dorchester, MA 02124",Dorchester,MA,02124,Abdelgadir Ibrahim,Owner,(617) 642-7421,,elsadig55@msn.com,,,No,2014,Less than 10,"TR - Travel, Transportation (Travel Agencies, Planning, Limo Services)",,,485320 - Limousine Service,,,78110000 - Passenger transport,,
"LV Home Improvement and Cleaning, Inc.",Residential and Commercial Construction and Cleaning,MBE,SLBE,,No,Yes,"436 Blue Hill Avenue, Dorchester, MA 02121",Dorchester,MA,02121,Harlen Lara,President,(617) 992-4557,,lvhomeimpro.clean@gmail.com,,,No,2018,Less than 10,GC - General Contractors,"FG - Fencing, Guardrail Contractors",PA - Painting and Papering Contractors,236118 - Residential Remodelers ,561720 - Janitorial Services ,,72110000 - Residential building construction services,72120000 - Nonresidential building construction services,
"DB Warfield, Inc.",Real Estate Management; House/Apartment Rentals,MWBE,SLBE,,No,No,"3 Rockville Park, Boston, MA 02119",Boston,MA,02119,LaTonya Burnett,"LaTonya Burnett, President ",(617) 602-0934,,dbwarfield@warfieldmanagement.com,www.dbwarfield.com,Corporation,No,2018,Less than 10,"RE - Real Estate (Development, Management, Sales and Appraisals)",,,531110 - Lessors of Residential Buildings and Dwellings ,531311 - Residential Property Managers ,531390 - Other Activities Related to Real Estate ,80130000 - Real estate services,,
"Setty & Associates International, PLLC","MEP/FP Engineering Services; Commissioning & Controls & Master Control Integration; LEED & Sustainability; NetZero; CABA- Clean Air Building Assessment; Energy Modeling, Energy Audit, Energy Services; Feasibility Study & Condition Assessment; Peer Review, Plan Review & Design Review; Construction Management; BIM Optimization Conversion; Post Occupancy Evaluation
",MBE,SBE,,No,No,"1415 Elliot Place NW Suite 100, Washington, DC 20007",Washington,DC,20007,Rajnsh Setty,"Rajnish Setty, P.E., LEED AP, CxA; President & Principal",(202) 393-1523,,rsetty@setty.com,www.setty.com,Limited Liability Company,No,2002,41 - 100,AE - Architects/Engineers,,,541330 - Engineering Services,541310 - Architectural Services,236210 - Industrial Building Construction ,81100000 - Professional engineering services,,
K&I Livery Service LLC,Car Service,,SLBE,,No,No,"361 Princeton Street, Boston, MA 02128",Boston,MA,02128,Karim Abouyoussef,karim Abouyoussef,(617) 331-7449,,karim@kilivery.com,,Limited Liability Company,No,2021,Less than 10,"TR - Travel, Transportation (Travel Agencies, Planning, Limo Services)",,,485999 - All Other Transit and Ground Passenger Transportation ,,,78110000 - Passenger transport,,
The Urban Labs LLC,Diversity Equity and Inclusion Consulting work - C-Suite Coaching and Training.,MWBE,SLBE,,No,No,"5 Akron Street, Boston, MA 02119",Boston,MA,02119,Malia Lazu,"Malia Lazu, Founder & CEO",(617) 697-2038,,nik@theurbanlabs.com,https://thelazugroup.com/,Sole Proprietorship,No,2017,Less than 10,COG - Consultants: Human Resources,,,541612 - Human Resources Consulting Services ,,,80110000 - Human resources services,,
Event Staffing by Josie,"Provide Private Event Staff; Bartenders, Waitstaff, Hostess Helper",MWBE,SLBE,,No,Yes,"23 Goodale Road, 1, mattapan, Massachusetts 02126",mattapan,Massachusetts,02126,Yoscary Gonzalez,Yoscary Gonzalez; Owner ,(617) 372-1720,,josie@eventstaffingbyjosie.com,www.eventstaffingbyjosie.com,Sole Proprietorship,No,2017,Less than 10,"FD - Food Products, Services",CT - Catering,,722330 - Mobile Food Services,,,73130000 - Food and beverage industries,,
Social Impact Collective,Architectural Design; Facilities Management Training; Workforce Development Training  ,MBE,SBE,,No,No,"11 Florence St, Winchester, MA 01890",Winchester,MA,01890,Killion Mokwete,Killion Mokwete,(978) 701-5477,,killion@socialimpactcollective.com,,Corporation,No,2021,Less than 10,AE - Architects/Engineers,,,541310 - Architectural Services,,,81100000 - Professional engineering services,,
Commonwealth Supply LLC,Cleaning Supplies; Janitorial Supplies; Safety Equipment; Machine Repair; Cleaning Equipment,,SBE,,No,Yes,"4 Tower Farm Road, Billerica, MA 01821",Billerica,MA,01821,Ally Reed,Joseph Durkin- President,(978) 262-1312,,ally@thedurkincompany.com,www.thedurkincompany.com,Partnership,No,2020,11 - 20,SA - Safety Products,"JA - Janitorial Services/Supplies (see also MA, RS)",,423850 - Service Establishment Equipment and Supplies Merchant Wholesalers ,,,47130000 - Cleaning and janitorial supplies,14110000 - Paper products,46180000 - Personal safety and protection
nema,"Landscaping, Lawn Care Services, Transport, General Contracting",MBE,SBE,,No,Yes,"749 Norwest Drive, Norwood, MA 02062",Norwood,MA,02062,Daniel Appolon,Daniel Appolon,(857) 251-4441,,appolondaniel@gmail.com,,Limited Liability Company (LLC),Yes,2022,Less than 10,LA - Landscaping Contractors,GC - General Contractors,EG - Civil/Structural Engineering,561730 - Landscaping Services,562111 - Solid Waste Collection ,237990 - Other Heavy and Civil Engineering Construction ,76110000 - Cleaning and janitorial services,11140000 - Scrap and waste materials,70130000 - Land and soil preparation and management and protection
"All Aces, Inc.","Diversity, Inclusion, and Equity Transformation (DIET): Consulting, Instructor-Guided Courses, Self-Guided Courses, Action Planning Workshops

",MWBE,SLBE,SDVOB,No,Yes,"120 Brookside Avenue, Suite C2, Boston, Massachusetts 02130",Boston,Massachusetts,02130,Atyia Martin,"Dr. S. Atyia Martin, CEO",(888) 795-6569,,info@allacesinc.com,http://allacesinc.com,Corporation,No,2017,11 - 20,TA - Training (see also ED),COM - Consultants: Management,COB - Consultants: City Planning,611430 - Professional and Management Development Training ,,,86130000 - Specialized educational services,80100000 - Management advisory services,80110000 - Human resources services
Scituate Light Caregivers LLC,"Staffing Agency; Home-Health-Care-Services; Private Duty; Skilled Nursing; Medication Management; Medication Reminders; Home Health Services; Respite Care; Alzheimer’s/Dementia Care; Home-Making Services; Assisting with
Activities of Daily Living; Shopping and Running Errands; Transportation Services to Medical Appointments; Companionship; Direct Care.
",MWBE,SBE,,Yes,No,"966 Park Street suite A4, Stoughton, MA 02072",Stoughton,MA,02072,Esther Wamburu,CEO & President ,(508) 436-3432,(781) 436-8418,estherw@scituatelight.com,www.scituatelight.com,Limited Liability Company,No,,,VT - Veterans Services,,,621610 - Home Health Care Services,,,85100000 - Comprehensive health services,,
Buzzi Bee Cleaning,Commercial Cleaning; Detailed Cleaning; Green Cleaning Company; Janitorial Services; Residential Cleaning; Retail Cleaning,MWBE,SLBE,,No,No,"157 Washington Street, Boston, MA 02121",Boston,MA,02121,Monet Collins,Mone't Collins Owner,(857) 261-1284,,buzzibeecleaning@gmail.com,,Sole Proprietorship,No,"july 13, 2018",Less than 10,"JA - Janitorial Services/Supplies (see also MA, RS)",,,561740 - Carpet and Upholstery Cleaning Services,,,47130000 - Cleaning and janitorial supplies,,
HHLM LLC,"Nail Care; waxing; Threading; Henna Tattoos; Facials; Body Oils, Creams, and Sugar Scrubs.",MWBE,SLBE,,No,Yes,"585 Mass Avenue, Boston, MA 02118",Boston,MA,02118,Allyson J Allen,"Allyson J Allen, M.A.",(857) 263-7945,,allysonj@vibrantbeautysalon.com,www.vibrantbeautysalon.com,Limited Liability Company (LLC),No,2021,Less than 10,"AHS - Health Care (Providers, Services)",,,812113 - Nail Salons ,,,91100000 - Personal appearance,,
Dugu Inc. dba Yamacu,"West African fusion food, ginger drinks and spice mixes.",MWBE,SLBE,,No,Yes,"196 Quincy St, Dorchester, MA 02121",Dorchester,MA,02121,Salimata Bangoura,"Salimata Bangoura, CEO",(857) 756-7651,,salimata@drinkyamacu.com,https://drinkyamacu.com/,Corporation,Yes,2018,Less than 10,CT - Catering,"FD - Food Products, Services",MU - Manufacturers,722330 - Mobile Food Services,722320 - Caterers,312111 - Soft Drink Manufacturing ,73130000 - Food and beverage industries,90100000 - Restaurants and catering,50190000 - Prepared and preserved foods
KKRY ENTERPRISE LLC,Transport of General Freight & Consulting Logistics,MWBE,SLBE,,No,Yes,"1660 Soldiers Field Road Ste 7 #1035, Brighton, MA 02135",Brighton,MA,02135,Safiya Julian,Safiya Julian Owner,(857) 334-1223,,kkryenterprise.net@kkryenterprise.net,www.kkryenterprise.net,Limited Liability Company (LLC),No,2021,Less than 10,COU - Consultants: Transportation,,,"541614 - Process, Physical Distribution, and Logistics Consulting Services ","484110 - General Freight Trucking, Local ",,78140000 - Transport services,78140000 - Transport services,
Isa painting ,Painting Services.,MWBE,SLBE,,No,No,"11 Hamlet St, #1, Boston, MA 02125",Boston,MA,02125,Eduisa Barros,Eduisa barros ,(617) 230-7725,,isapainting57@gmail.com,,Corporation,Yes,2020,Less than 10,CN - Construction Management: Small Commercial Projects,,,238320 - Painting and Wall Covering Contractors,,,31210000 - Paints and primers and finishes,,
DHK Architects ,"Architectural Services including: Architecture Adaptive Reuse, Historic Preservation, New Construction, Rehabilitation; BIM - Building Information Modeling; Building Assessments; Community Process; Design Build; Feasibility Studies; Interior Design; Master Planning; OPM - Owner’s Project Management; Permitting; Programming Site Planning; Sustainability; Zoning Analysis",MBE,SLBE,,Yes,Yes,"54 Canal Street, Suite 200, Boston, Massachusetts 02114",Boston,Massachusetts,02114,Katie Gething,"Fernando J. Domenech Jr. FAIA, LEED AP",(617) 267-6408,,fdomenech@dhkinc.com,www.dhkinc.com,Corporation,No,,,AE - Architects/Engineers,"COA - Consultants: Architecture, Engineering",,541310 - Architectural Services,,,81100000 - Professional engineering services,,
Villa Mexico Cafe LLC,"Authentic Mexican food, bottled salsa, catering services ",MWBE,SLBE,,No,Yes,"121 Water St, boston, Massachusetts 02109",boston,Massachusetts,02109,Julie King,Julie King,(617) 957-0725,,villamexicocafe@gmail.com,www.villamexicocafe.us,Limited Liability Company (LLC),No,2000,Less than 10,"FD - Food Products, Services",,,722511 - Full-Service Restaurants ,,,90100000 - Restaurants and catering,,
Noir Essence Unisex Salon,"Unisex Hair Salon, Walk-In and By Appointment",MWBE,SLBE,,No,No,"1741 Dorchester Avenue, Dorchester, MA 02124",Dorchester,MA,02124,Kareen Williams,Owner,(857) 342-0569,,noiressencesalon@gmail.com,,,No,2021,Less than 10,"AHS - Health Care (Providers, Services)",,,812112 - Beauty Salons ,,,53130000 - Personal care products,,
Beauty 101 LLC,Services Offered:  Manicure; Pedicure; Acrylic; Gel-X; Gel.,MWBE,SLBE,,No,Yes,"51 Heath Street, Boston, MA 02130",Boston,MA,02130,Eloise Telisnor,Eloise Telisnor -Owner,(857) 203-9449,,eloise@beauty101boston.com,www.beauty101boston.com,Limited Liability Company,No,2020,Less than 10,MO - Multi Service Organizations,,,812113 - Nail Salons ,,,53130000 - Personal care products,,
Round The Clock Moving LLC,Moving and junk removal,MBE,SLBE,,No,Yes,"35 Tennis Road, Boston, MA 02126",Boston,MA,02126,Mackeile Satchell,Mackeile Satchell Owner,(617) 368-0119,,info@roundtheclockmoving.com,roundtheclockmoving.com,Limited Liability Company,No,2016,Less than 10,TK - Trucking (Waste Disposal Commodities Transport),RS - Residential Services,"OF - Office Furniture, Services and Equipment",484210 - Used Household and Office Goods Moving,562111 - Solid Waste Collection ,,78100000 - Mail and cargo transport,25190000 - Transportation services equipment,
AfroDesiaCity Productions LLC,"ADC offers event planning and artists management, event production, and community and cultural activation.

",MWBE,SLBE,,No,Yes,"1109 Harrison Avenue, Apt. 1, Boston, MA 02119",Boston,MA,02119,OLAWUMI AKINWUMI,"Olawumi D. Akinwumi, CEO/Creative Director",(857) 544-1275,,o.akinwumi@gmail.com,https://www.afrodesiacity.com/,Limited Liability Company (LLC),No,2010,Less than 10,ET - Entertainment/Entertainer,COM - Consultants: Management,,"711310 - Promoters of Performing Arts, Sports, and Similar Events with Facilities ","711320 - Promoters of Performing Arts, Sports, and Similar Events without Facilities ","711410 - Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",90150000 - Entertainment services,90130000 - Performing arts,82150000 - Professional artists and performers
The Centerpiece Flower Shop LLC,"Floral Arrangements, House Plants Services, Gardening Services, Seasonal Planters, Gift Shop, Event Planner.",MBE,SLBE,,Yes,Yes,"2051 Centre St, West Roxbury, Massachusetts 02132",West Roxbury,Massachusetts,02132,Angel Diaz,Angel Diaz,(617) 323-6262,,thecenterpieceflowershop@gmail.com,,Limited Liability Company,No,,,"FO - Floral (Arrangement, Maintenance)",GM - Retail Sales of Art & Framing,,"424930 - Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers ","453220 - Gift, Novelty, and Souvenir Stores ",,10210000 - Live plants of high species or variety count flowers,10310000 - Fresh cut blooms of high species or variety count flowers,
Avanti Studios,"Photography Services:  Construction documentation, Portraits, Headshots, Advertising Photography, Marketing Photography, Event Photography, Catalog Photography, E-Commerce Photography, Product Photography,",WBE,SLBE,,No,Yes,"46 Waltham Street, Studio 109, Boston, MA 02118",Boston,MA,02118,Catherine McDermott Tingle,Catherine McDermott Tingle Owner,(617) 230-0720,,cathy@avantistudios.com,www.avantistudios.com,Sole Proprietorship,No,1984,Less than 10,PG - Photography,MK - Marketing,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,541922 - Commercial Photography ,"541921 - Photography Studios, Portrait ",,82130000 - Photographic services,45130000 - Photographic and recording media,
"Tread Milling Company, Inc.",Asphalt Milling and Reclamation,WBE,SBE,,No,No,"18 Ayers Village Road, Building 2, Suite 10, Methuen, MA 01844",Methuen,MA,01844,Ashley Read,"Ashley Read, President",(978) 766-1993,,andrea@treadmillingco.com,treadmillingco.com,Corporation,Yes,2016,11 - 20,"RO - Road, Railroad, Highway, Bridge Contractors (see also PV)",,,"237310 - Highway, Street, and Bridge Construction ",,,22100000 - Heavy construction machinery and equipment,,
Major League Nutrition,"Nutrition and health education, counseling and consulting; Worksite wellness; Health promotion, disease prevention; Innovative wellness program design and implementation; Preceptorship for dietetic interns.",WBE,SLBE,,No,No,"139 Charles Street, Suite 215, Boston, MA 02114",Boston,MA,02114,Nicole Chenard,"Nicole Chenard, MS, RD, LDN",(857) 304-9516,,majorleaguenutritionllc@gmail.com,majorleaguenutrition.com,Limited Liability Company (LLC),Yes,2018,Less than 10,"AHS - Health Care (Providers, Services)",BU - Business Management Consultants,"COH - Consultants: Health, Psychological",621399 - Offices of All Other Miscellaneous Health Practitioners ,812191 - Diet and Weight Reducing Centers ,923110 - Administration of Education Programs ,85100000 - Comprehensive health services,42300000 - Medical training and education supplies,42230000 - Clinical nutrition
CGIA LLC dba Boston TeePee Party,Event Planning and Event Furniture Rental,MWBE,SLBE,,No,Yes,"71 Commercial Street, 224, Boston, MA 02110",Boston,MA,02110,Crystal Murphy,Crystal Murphy owner ,(617) 333-8961,,info@bostonteepeeparty.com,bostonteepeeparty.com,Limited Liability Company (LLC),No,2019,Less than 10,ET - Entertainment/Entertainer,,,"711320 - Promoters of Performing Arts, Sports, and Similar Events without Facilities ",,,90150000 - Entertainment services,,
A1 Consultants LLC,"Demolishing, framing, insulation, flooring, maintenance, remodeling, blue boarding, siding, plumbing.",MBE,SLBE,,No,Yes,"10 Drayton Avenue, Unit 2, Boston, MA 02125",Boston,MA,02125,Charles Wilkerson,Charles Wilkerson Manager,(617) 708-7457,,a1consultants@yahoo.com,,Limited Liability Company (LLC),Yes,2019,Less than 10,CA - Carpentry,GC - General Contractors,SN - Snow Removal/Plowing (see also TK),238130 - Framing Contractors ,238310 - Drywall and Insulation Contractors ,238330 - Flooring Contractors,30140000 - Insulation,31210000 - Paints and primers and finishes,30180000 - Plumbing fixtures
The Williams Agency,"Marketing, strategic planning, event planning, marketing research, marketing communications, small business consulting and technical assistance services",MWBE,SBE,,No,Yes,"144A Mount Auburn Street, Cambridge, MA 02138",Cambridge,MA,02138,Nicola Williams,Nicola A Williams,(857) 204-6108,,nicola@thewilliamsagency.net,www.thewilliamsagency.net,Sole Proprietorship,No,1995,Less than 10,COM - Consultants: Management,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,COP - Consultants: Public Relations,541613 - Marketing Consulting Services ,"711320 - Promoters of Performing Arts, Sports, and Similar Events without Facilities ",541611 - Administrative Management and General Management Consulting Services ,80140000 - Marketing and distribution,80160000 - Business administration services,
Gustavo Consulting Group,Business Consulting; Strategy & Implementation; Business Roadmapping; Management Consulting; Marketing Consulting; Coaching & Advisory; Curriculum Development & Revision; Social Media Consulting; QuickBooks Accounting Management ,MBE,SLBE,,No,Yes,"2119 Dorchester ave, Boston, MA 02124",Boston,MA,02124,J Gustavo,J Gustavo - President & CEO,(617) 372-2228,,info@gustavoconsulting.co,www.gustavoconsulting.co,Limited Liability Company,No,2020,Less than 10,BU - Business Management Consultants,COM - Consultants: Management,EC - Economic Development,541618 - Other Management Consulting Services ,541611 - Administrative Management and General Management Consulting Services ,,80160000 - Business administration services,80100000 - Management advisory services,
"Rising Hope Counseling and Wellness, LLC","Provide individual, group, and family mental health therapy; and provide fitness and wellness classes to youth, adolescents and adults.",MWBE,SBE,,No,No,"124 Harvard Street, Brookline, MA 02446",Brookline,MA,02446,LaMone Downey Leonard,LaMone Downey Leonard,(857) 342-2018,,info@risinghopecw.com,https://risinghopecw.com/,Limited Liability Company (LLC),No,2019,Less than 10,"AHS - Health Care (Providers, Services)","COH - Consultants: Health, Psychological","ED - Education (see also OS, TA)",621330 - Offices of Mental Health Practitioners (except Physicians) ,621111 - Offices of Physicians (except Mental Health Specialists) ,,93140000 - Community and social services,85100000 - Comprehensive health services,
Kay's Oasis Enterprises Inc. ,"Rent Function Hall for meetings, repasse, concerts, parties, showers, business, and events. Bar and food.",MWBE,SLBE,,No,Yes,"1117 Blue Hill Avenue, Dorchester, MA 02124",Dorchester,MA,02124,Kay Chambers,"Kay Chambers, President",(617) 436-0125,,kaychambers1125@gmail.com,,Corporation,No,1984,Less than 10,CU - Cultural Organizations,,,722410 - Drinking Places (Alcoholic Beverages) ,,,90150000 - Entertainment services,,
Sharps Cuts Corp,Full Service Barbershop ,MBE,SLBE,,No,No,"1261 Hyde Park Avenue, Boston, MA 02136",Boston,MA,02136,Yovanny Arias,Yovanny Arias ,(617) 364-1025,,sharpsbarbershop@gmail.com,www.sharpsbarbershop.com,Corporation,No,Since 2018,Less than 10,"AHS - Health Care (Providers, Services)",,,812111 - Barber Shops ,,,91100000 - Personal appearance,,
Taste of Eden,Restaurant and Caterer Specializing in Jamaican and Caribbean Cuisine.,MWBE,SLBE,,No,Yes,"38A Norfolk Street, Dorchester, MA 02124",Dorchester,MA,02124,Hopa Bailey,Hopa Bailey,(617) 282-0077,,tasteofeden7@gmail.com,www.tasteofedenjamerican.com,Corporation,No,1985,Less than 10,"FD - Food Products, Services",,,722513 - Limited-Service Restaurants ,,,90100000 - Restaurants and catering,,
"Mass Trucking Services, Inc.","Small fleet owner offering transportation services of freight, material , supplies, cargo, etc.",MBE,SLBE,,No,No,"3 Hilton Terrace, Roxbury, MA 02119",Roxbury,MA,02119,Donnell Murray,Donnell Murray President,(617) 595-3718,,masstruckingllc@yahoo.com,,Corporation,Yes,2020,Less than 10,TK - Trucking (Waste Disposal Commodities Transport),,,"484110 - General Freight Trucking, Local ","484220 - Specialized Freight (except Used Goods) Trucking, Local ","484122 - General Freight Trucking, Long-Distance, Less Than Truckload ",78100000 - Mail and cargo transport,,
Los Magicos Barbershop and Beauty Supply,Barber Shop,MBE,SLBE,,No,Yes,"1469 River Street, Boston, MA 02136",Boston,MA,02136,FRANKLIN WINKLAAR,FRANKLIN WINKLAAR,(857) 204-5670,,losmagicosbarbershop14@gmail.com,,Limited Liability Company (LLC),No,2018,Less than 10,"AHS - Health Care (Providers, Services)",,,812111 - Barber Shops ,,,53130000 - Personal care products,,
Africa Love,"I am a retail business, along with being an educator who teaches people how to sew for women, men and children; I also have access to leather, all types of materials, and metals (for jewelry).   ",MWBE,SLBE,,No,Yes,"50 Linwood Street, 1, Boston, MA 02119",Boston,MA,02119,Paula Coar,Paula D Coar,(617) 959-0795,,paulad574@gmail.com,Africa-love.shoplightspeed.com,Sole Proprietorship,No,,,AL - Apparel,TA - Training (see also ED),,448140 - Family Clothing Stores ,448150 - Clothing Accessories Stores ,448130 - Children's and Infants' Clothing Stores ,11160000 - Fabrics and leather materials,,
 An Abundance LLC,"Oversee the construction of projects and monitor activities at worksites. I manage crews, ensure health and safety codes are observed, and that work is completed to schedule . ",MBE,SBE,,No,No,"49 Magee Street, Cambridge, MA 02139",Cambridge,MA,02139,Foster Starks,Foster Starks Owner,(617) 304-1455,,anabundancellc@gmail.com,,Limited Liability Company (LLC),Yes,2021,Less than 10,CE - Construction Estimating,CN - Construction Management: Small Commercial Projects,GC - General Contractors,236115 - New Single-Family Housing Construction (except For-Sale Builders) ,236116 - New Multifamily Housing Construction (except For-Sale Builders) ,236220 - Commercial and Institutional Building Construction ,72110000 - Residential building construction services,22100000 - Heavy construction machinery and equipment,72150000 - Specialized trade construction and maintenance services
Sweet Teez Bakery,"Bakery specializing in allergy-friendly baked goods, specifically for those who have nut-based allergies and intolerances; we provide high-quality nut-free products made from the best ingredients that taste great and have high nutritional content; we offer mini pies, brownies, cookies, cakes, rum cakes & much more; orders can be customized to the customer's preferences and delight. 
",MWBE,SLBE,,No,Yes,"196 Quincy Street, Boston, MA 02125",Boston,MA,02125,Teresa Maynard,Teresa Maynard - Onwner & CEO,(718) 473-4112,,sweetteezbakery@gmail.com,www.sweetteezbakery.com,Corporation,No,2017,Less than 10,"FD - Food Products, Services",CT - Catering,,311811 - Retail Bakeries ,445291 - Baked Goods Stores ,,50180000 - Bread and bakery products,,
"DAC Enterprises, Inc.",Professional Services:  CPR & First Aid Training; Emergency Preparedness; Parent Workshops & Training; Support Groups; Facilitating; Resource & Information Center; Grief & Suicide Prevention; Post Traumatic Stress; Mental Health First Aid; Substance Abuse Counseling,MWBE,SLBE,,No,Yes,"37 Monadnock Street, Dorchester, MA 02125",Dorchester,MA,02125,Deborah Cox,"Deborah Cox, President",(617) 777-9941,,dacenterprisesinc@gmail.com,www.dacenterprisesincboston.org,Corporation,No,2002,Less than 10,TA - Training (see also ED),,,"541990 - All Other Professional, Scientific, and Technical Services",,,93140000 - Community and social services,,
MW Hair Studio LLC,Hair services ,WBE,SLBE,,No,No,"401 West First Street, Boston, MA 02127",Boston,MA,02127,Nikki Mccart,Nicole McCart co-owner,(617) 752-4212,,mwhairstudioboston@gmail.com,mwhairstudioboston.com,Limited Liability Company,No,2021,Less than 10,GC - General Contractors,,,812112 - Beauty Salons ,,,91100000 - Personal appearance,,
Attorney Eddie Jenkins and Assoc.,Legal Services,MBE,SLBE,,No,No,"576 Warren Street, Boston, MA 02121",Boston,MA,02121,Eddie Jenkins,Eddie Jenkins Pres/CEO,(617) 238-5215,(617) 516-8490,attorneyeddiejenkins@gmail.com,,Corporation,No,2014,Less than 10,AT - Attorneys,,,541199 - All Other Legal Services ,,,80120000 - Legal services,,
Dffrnt Kloth!,CONSULTANT | TRAINER | FACILITATOR | SPEAKER | CREATOR | DESIGNER,MBE,SLBE,,No,No,"1287 Massachusetts Avenue, Apt 3, Dorchester, MA 02125",Dorchester,MA,02125,James Mackey,James Mackey | CEO,(857) 500-0697,,mrjamesmackey@gmail.com,,Limited Liability Company (LLC),No,2022,Less than 10,COM - Consultants: Management,BU - Business Management Consultants,"ED - Education (see also OS, TA)",541612 - Human Resources Consulting Services ,813311 - Human Rights Organizations ,813410 - Civic and Social Organizations ,93140000 - Community and social services,86120000 - Educational institutions,94130000 - Civic organizations and associations and movements
TK3 Plumbing and Heating LLC,"Plumbing, Heating and HVAC ",MBE,SLBE,,No,No,"45 Clearwater Dr, Boston, Massachusetts 02126",Boston,Massachusetts,02126,Tyrone Kindell,Tyrone Kindell Jr ,(617) 735-0745,,tkindell@tk3plumbandheat.com,TK3Plumbandheat.com,Limited Liability Company (LLC),Yes,2020,Less than 10,PB - Plumbing,,,"238220 - Plumbing, Heating, and Air-Conditioning Contractors ",,,30180000 - Plumbing fixtures,,
Rojas AP,"Architecture, including but not limited to Façade Repair, Exterior Envelope Design, Interior Commercial and Residential Renovation, Vaulted Sidewalks, Site Design, Energy Analysis, Client Representative; and Urban Planning, including but not limited to Community Engagement, Geospatial Data Analysis & Data Collection, Zoning Analysis & LPC Study, Land Use, Zoning, and Public Policy, Urban Design and Visual Resources, Neighborhood Character.",WBE,SBE,,No,No,"90-50 Parsons Boulevard, Suite 204, Jamaica, NY 11432",Jamaica,NY,11432,Deborah Rojas,Deborah Rojas Principal,(347) 618-1405,,drojas@rojasap.com,rojasap.com,Limited Liability Company (LLC),Yes,2015,Less than 10,AE - Architects/Engineers,"AS - Architectural Support Services, Surveying",COB - Consultants: City Planning,541310 - Architectural Services,541320 - Landscape Architectural Services,541340 - Drafting Services,81100000 - Professional engineering services,93140000 - Community and social services,
CTM CONSULTING GROUP LLC,"Professional Services:  Executive Coaching; Career Coaching; Diversity and Inclusion Consultant; Business Consultant; Facilitator; Conflict Resolution; D.I.S.C Certified Consultant; Keynote Speaker 

",MWBE,SBE,,No,No,"193 Ridge Street, Brockton, MA 02302",Brockton,MA,02302,NADIDAH COVENEY,CTM CONSULTING GROUP LLC,(617) 270-4430,,ctmconsultinggrp@gmail.com,https://ctmconsultinggrp.wixsite.com/website,Limited Liability Company (LLC),No,2016,Less than 10,TA - Training (see also ED),BU - Business Management Consultants,,611430 - Professional and Management Development Training ,,,60100000 - Developmental and professional teaching aids and materials and accessories and supplies,,
"iMoto Cars, Incorporated",We provide non-emergency transportation for healthcare facilities and hospital patients; we also provide transportation for students under the Every Student Succeeds Act ESSA; our drivers are 4D license holders and have background checks by an accredited Professional Background Screening Association (PBSA).,MWBE,SBE,,No,No,"108 Newport Avenue, Attleboro, MA 02703",Attleboro,MA,02703,Patricia Bellfield,"iMoto Cars, Incorporated",(617) 597-7513,(866) 355-6192,info@imotocars.org,imotocars.org,Corporation,No,2022,Less than 10,"TR - Travel, Transportation (Travel Agencies, Planning, Limo Services)",,,481219 - Other Nonscheduled Air Transportation ,,,25170000 - Transportation components and systems,,
Lusterity LLC,All aspects of design support and event planning.,WBE,SLBE,,No,Yes,"28 Ditson Street, Boston, MA 02122",Boston,MA,02122,Sierra Rothberg,"Sierra Rothberg, Owner",(617) 967-8806,,sierra@lusterity.com,,Limited Liability Company (LLC),No,4.23.15 and 3.28.17 as an LLC,Less than 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,COD - Consultants: Design,IT - Interior Deisgn Services,541430 - Graphic Design Services,541490 - Other Specialized Design Services,"711320 - Promoters of Performing Arts, Sports, and Similar Events without Facilities ",82140000 - Graphic design,,
Glamour Med Spa and Beauty Bar,Managing and providing aesthetic injectables like Dermal Filler; Neurotoxin; Body contouring; Laser hair removal; IV therapy ,MWBE,SLBE,,No,Yes,"360c Centre Street, Boston, MA 02130",Boston,MA,02130,Glendely avalo-valdez,"Glendely Avalo-Valdez, NURSE ",(978) 930-7089,,glamourbyglendely@gmail.com,www.glamourmedspa.squarespace.com,Limited Liability Company (LLC),No,2019,Less than 10,MO - Multi Service Organizations,"AHS - Health Care (Providers, Services)",MO - Multi Service Organizations,541611 - Administrative Management and General Management Consulting Services ,,,80100000 - Management advisory services,53130000 - Personal care products,
